Data,Mes,Valor,Categoria,Sub-categoria,Banco,Pagamento,Naturefa financeira,Saldo,Saldo Cora,Saldo Assas
28/10/2025,out.,"48,78",Custos Variaveis,Visita,Cora,Pix,Saida,"7.648,38","1.741,94","5.906,44"
28/10/2025,out.,"10,00",Receitas,Pix,Cora,Pix,Entrada,"7.658,38","1.751,94","5.906,44"
28/10/2025,out.,"10,00",Custos Variaveis,Visita,Cora,Pix,Saida,"7.648,38","1.741,94","5.906,44"
28/10/2025,out.,"327,66",Custos Fixos,Poli UP,Cora,Pix,Saida,"7.320,72","1.414,28","5.906,44"
30/10/2025,out.,"480,00",Custos Fixos,Epeej,Cora,Pix,Saida,"6.840,72","934,28","5.906,44"
31/10/2025,out.,"4.404,00",Receitas,Pix,Cora,Pix,Entrada,"11.244,72","5.338,28","5.906,44"
16/10/2025,out.,"1.998,01",Receitas,Pix,Assas,Pix,Entrada,"13.242,73","5.338,28","7.904,45"
16/10/2025,out.,"1.998,01",Receitas,Pix,Assas,Pix,Entrada,"15.240,74","5.338,28","9.902,46"
31/10/2025,out.,"512,83",Custos Fixos,Epeej,Assas,Pix,Saida,"14.727,91","5.338,28","9.389,63"
,,,,,,Pix,,,"5.338,28","9.389,63"
10/11/2025,nov.,"359,90",Custos Fixos,FEJEPE,Cora,Pix,Saida,"14.368,01","4.978,38","9.389,63"
14/11/2025,nov.,"50,00",Custos Variaveis,Visita,Cora,Pix,Saida,"14.318,01","4.928,38","9.389,63"
14/11/2025,nov.,"12,63",Custos Variaveis,Visita,Cora,Pix,Saida,"14.305,38","4.915,75","9.389,63"
14/11/2025,nov.,"14,40",Custos Fixos,Despesas Administrativas,Cora,Pix,Saida,"14.290,98","4.901,35","9.389,63"
14/11/2025,nov.,"105,19",Custos Variaveis,Visita,Cora,Pix,Saida,"14.185,79","4.796,16","9.389,63"
24/11/2025,nov.,"110,79",Custos Variaveis,Visita,Cora,Pix,Saida,"14.075,00","4.685,37","9.389,63"
24/11/2025,nov.,"30,08",Custos Variaveis,Visita,Cora,Pix,Saida,"14.044,92","4.655,29","9.389,63"
06/11/2025,nov.,"1.610,00",Custos Fixos,Epeej,Assas,Pix,Saida,"12.434,92","4.655,29","7.779,63"
10/11/2025,nov.,"320,20",Custos Variaveis,Impostos,Assas,Pix,Saida,"12.114,72","4.655,29","7.459,43"
10/11/2025,nov.,"88,00",Custos Variaveis,Despesas Administrativas,Assas,Pix,Saida,"12.026,72","4.655,29","7.371,43"
27/11/2025,nov.,"3.407,35",Custos Fixos,EDL,Assas,Pix,Saida,"8.619,37","4.655,29","3.964,08"
,,,,,,Pix,,,"4.655,29","3.964,08"
02/12/2025,dez.,"800,00",Custos Fixos,Contador,Cora,Pix,Saida,"7.819,37","3.855,29","3.964,08"
02/12/2025,dez.,"327,98",Custos Fixos,Legis,Cora,Pix,Saida,"7.491,39","3.527,31","3.964,08"
09/12/2025,dez.,"26,92",Custos Fixos,Despesas Administrativas,Cora,Pix,Saida,"7.464,47","3.500,39","3.964,08"
15/12/2025,dez.,"82,85",Custos Variáveis,Visita,Cora,Pix,Saida,"7.381,62","3.417,54","3.964,08"
15/12/2025,dez.,"15,91",Custos Variáveis,Visita,Cora,Pix,Saida,"7.365,71","3.401,63","3.964,08"
15/12/2025,dez.,"22,51",Custos Variáveis,Visita,Cora,Pix,Saída,"7.343,20","3.379,12","3.964,08"
08/12/2025,dez.,"1,99",Custos Fixos,Despesas Administrativas,Assas,Pix,Saida,"7.341,21","3.379,12","3.962,09"
